content,label
Lemot banget ngirim kode OTP nya ajg,Negative
"Daftar pajak email aktivasi sudah, ehh pas nerima kode otp no hp ngga muncul udah 4jam nungguin trus dan ulang ulang di coba tetap sama tidak ada otp hadeh memperuslit aja",Negative
"Pas Nunggu Kode OTP nya emng GK lama,TPI GK tauu knp pas mau klik daptarr salahh Mulu,Mau daptar juga Mlah nglag. mohon lebih diperbaiki lgi",Negative
Sangat cocok untuk melihat pajak saya,Positive
ngabisin pulsa doang,Negative
Saya udah muter-muter buka aplikasi maupun di web tetap gak bisa. Katanya akun di blokir padahal baru saja di buat. Ini gimana ceritanya saya mau urus NPWP kok gak bisa.🙄,Negative
Mau bikin NPWP bagian otp nya gagal terus kesal pdhl udh isi pulsa..,Negative
Aplikasi sampah,Negative
Ternyata bgni pajak saya dipakai untuk aplikasi yang tidak berfungsi,Negative
"Bapak atau ibu yang terhormat,mohon aplikasi ini di benahi.masuknya susah,sekalinya ambil verifikasi di gmail dan mau isi ehh kembali ke tahap awal.mohon dipertimbangkan demi nama baik lembaga pajak",Negative
"Oke belum berkembang, mulai berkembang, sangat oke berkembang 🤭",Positive
Semoga berfungsi dengan baik,Neutral
Sampah memang gk bisa registrasi,Negative
"Sumpah ni apl bener² mempersulit bgt, gak sesuai harapan",Negative
Ini duit anggaran pajak yang begitu banyak dari rakyat ga sanggup buat bayar IT yang ahli dalam bikin web dan aplikasi?,Negative
Aplikasi ga bermanfaat sama sekali ga ada otak,Negative
aplikasi sampah!!! di perbarui ribuan kali tetap saja sistem nya error!!!,Negative
Tak bisa dipakek,Negative
Baik baik saja,Positive
"Sangat terbantu mendapatkan EFIN. Gak perlu menunggu lama, langsung dikirimkan ke email.",Positive
Ok,Positive
Nunggu balesan email aja susah nya minta ampun,Negative
Ok,Positive
Aplikasi tidak berguna.,Negative
"Bikin e billing, eh nomor ebillingnya nggak berfungsi 🫠",Negative
bikin aplikasi gabisa dipake buat apa dah?,Negative
"Aplikasinya sangat jelek, menurut saya aplikasi yang paling buruk tidak guna tak jelas lah pokoknya",Negative
Password sudah sesuai malah ga bisa login 🗿,Negative
Nyerah bang susah banget asli daftar npwp gua kira kalo online bisa lebih gampang ehh ternyata lebih ribet,Negative
"1 untuk login susah, selalu salah",Negative
Cukup rating yang bicara,Neutral
SDN & NASIONALISME KURANG.....MAKAN PAJAK RAKYAT.. #KONYOL kode otp sulit...,Negative
sampah bat aplikasi nya,Negative
Thanx,Positive
"Aplikasi ruwet, betulin aplikasinya woy.. Jangan makan gaji buta.",Negative
Aplikasi nya tidak jelas baru juga buat eh udah ke blokir yang bener aje rugi dong,Negative
"Jan duit pajak asli ne gae opo seh, kok kerjo ne koyok ngene wong pajek😤",Negative
Good job! :),Positive
Sampah,Negative
Gak guna👿👿,Negative
"Bikin aplikasi ga pernah niat banget ini pemerintah, uangnya di kemanain dah itu. Aplikasi sekelah pemerintah kalah sma aplikasi buatan anak kejuruan 😌 ini pke aplikasi, tetep aja di lemparnya ke website pake peramban yg ada di hp ny",Negative
"Gak jelas, , log in di web bisa.. Loh in di aplikasi error terus...",Negative
Bagus,Positive
"Aplikasi kemplo, buang-buang duit negara",Negative
"Aplikasi anak bangsa emang ampas, jelek, kualitas buruk,, server sering eror padahal jaringan lancar paket banyak,, perbaiki lagi dek aplikasinya, sekelas aplikasi pejabat kualitas buruk, uang kencang minta urus lama",Negative
Sangay bermangfaat sekali sangat membantu,Positive
Sangat membantu dalam pembayaran pajak tanpa perlu ke kantornya lagi,Positive
"Baru download udah gak bisa kebuka,njir belum apa apa loh,mempersulit rakyat banget sih",Negative
Aplikasi paling buruk yg pernah ada,Negative
Ok,Positive
Lupa EFIN masih sulit dan ribet. Harusnya ada opsi untuk kirim kode EFIN via SMS/WA. Jangan hanya via e-mail saja.,Negative
Ga Guna!!!,Negative
"Tolong admin, kenapa ya ini gak bisa bikin Form Pajak pph21.. Tombol buat nya gk timbul2",Negative
"Susah login ,Ribet. Sudah daftar akun di aktivasi malah GK bisa login",Negative
situs tidak dapat dijangkau 🤣🤣🤣,Negative
Knpa daftar NPWP online susah,Negative
"Apknya error terus....susahnya cm mau minta efin aja... knp jd smua serba susah ya sekarang klo ngurus apa""",Negative
